"","target_vertical","target_horizontal","target_type","index","batter"
"2698","low","umpLeft","FA",3791,571448
"2015","middle","umpLeft","FA",3060,622534
"1993","high","umpMiddle","FA",3035,474832
"1418","low","umpRight","CU",2450,630111
"1112","high","umpLeft","FA",2143,501571
"2899","middle","umpRight","FA",4002,572761
"962","high","umpMiddle","FA",1988,457803
"1079","high","umpLeft","CU",2110,608700
"996","middle","umpLeft","FA",2025,457574
"286","low","umpLeft","SL",1288,607776
"57","low","umpLeft","SL",1057,500208
"4026","low","umpRight","FA",5225,518934
"1507","middle","umpMiddle","FA",2539,457787
"756","high","umpRight","FA",1772,431151
"1924","low","umpLeft","FA",2960,542436
"892","low","umpLeft","FA",1915,405395
"3780","middle","umpLeft","SL",4914,460077
"2652","low","umpLeft","SL",3745,571976
"594","low","umpLeft","FA",1610,445055
"2639","middle","umpLeft","FA",3732,622534
"695","high","umpMiddle","SL",1711,429665
"453","low","umpMiddle","CU",1468,453400
"3224","high","umpLeft","FA",4353,608070
"3177","middle","umpLeft","FA",4306,572191
"862","high","umpLeft","FA",1882,405395
"1018","low","umpMiddle","FA",2047,452678
"4167","low","umpLeft","FA",5366,520471
"2509","low","umpLeft","FA",3589,434604
"958","middle","umpRight","FA",1984,458015
"2559","low","umpLeft","FA",3646,595978
"2928","high","umpRight","FA",4032,519203
"217","high","umpLeft","FA",1219,457763
"4052","low","umpLeft","FA",5251,605509
"1556","middle","umpLeft","FA",2588,516782
"2734","middle","umpLeft","SL",3828,642162
"1972","high","umpRight","FA",3011,452254
"2292","middle","umpMiddle","FA",3340,572008
"1227","middle","umpLeft","SL",2259,622110
"3489","middle","umpRight","SL",4619,596115
"1247","low","umpLeft","CU",2279,592620
"984","low","umpRight","SL",2013,458015
"65","high","umpLeft","FA",1065,605486
"4020","low","umpRight","CU",5219,453568
"3833","high","umpLeft","FA",4967,547989
"4233","low","umpLeft","SL",5432,452254
"2969","high","umpRight","FA",4085,518792
"193","low","umpLeft","FA",1195,452254
"3126","low","umpLeft","FA",4255,475582
"2272","low","umpRight","FA",3320,592273
"3926","high","umpLeft","SL",5061,641313
"677","low","umpRight","CU",1693,489365
"471","low","umpLeft","SL",1486,519317
"2552","low","umpLeft","SL",3639,571976
"4345","low","umpRight","SL",5547,571448
"3741","low","umpLeft","SL",4875,593528
"2706","low","umpRight","SL",3799,448602
"1398","low","umpLeft","SL",2430,592273
"1695","low","umpLeft","SL",2731,542303
"3102","low","umpLeft","SL",4230,541650
"3142","low","umpLeft","CU",4271,446653
"4275","high","umpRight","FA",5475,607776
"3898","low","umpMiddle","SL",5033,466320
"3004","low","umpLeft","SL",4125,575929
"1800","low","umpRight","SL",2836,434636
"2500","low","umpMiddle","FA",3580,452254
"1178","middle","umpLeft","SL",2210,455976
"4310","low","umpRight","SL",5512,491676
"987","high","umpLeft","SL",2016,458015
"849","middle","umpLeft","FA",1869,594777
"195","low","umpMiddle","SL",1197,452254
"3468","high","umpRight","CU",4597,453568
"797","middle","umpRight","CU",1813,435522
"2467","low","umpMiddle","FA",3534,491676
"707","middle","umpLeft","FA",1723,459431
"1525","low","umpRight","CU",2557,475582
"3441","high","umpLeft","FA",4570,448602
"3416","middle","umpRight","CU",4545,518595
"380","high","umpLeft","SL",1395,593495
"3453","low","umpMiddle","FA",4582,596115
"2173","high","umpLeft","FA",3218,592351
"605","low","umpLeft","SL",1621,518626
"915","high","umpRight","FA",1938,463610
"3163","low","umpRight","FA",4292,475582
"3826","middle","umpLeft","SL",4960,444876
"874","low","umpLeft","SL",1894,453203
"3273","low","umpLeft","CU",4402,543706
"2800","low","umpLeft","SL",3900,607776
"552","low","umpLeft","SL",1568,489267
"3116","low","umpLeft","FA",4245,430605
"3905","low","umpLeft","FA",5040,547989
"2518","high","umpRight","FA",3598,605412
"430","low","umpMiddle","FA",1445,543829
"2557","high","umpLeft","FA",3644,500208
"3922","low","umpLeft","CU",5057,607345
"641","middle","umpRight","SL",1657,607680
"156","low","umpLeft","CU",1158,434636
"4366","middle","umpRight","FA",5568,608566
"2978","low","umpLeft","SL",4094,608365
"3443","low","umpMiddle","SL",4572,448602
"2501","low","umpLeft","SL",3581,452254
"949","low","umpRight","FA",1975,571740
"2009","middle","umpLeft","FA",3051,605412
"1092","low","umpMiddle","CU",2123,434158
"1623","low","umpMiddle","SL",2655,455755
"690","middle","umpLeft","FA",1706,429665
"4072","low","umpLeft","FA",5271,596103
"3216","middle","umpMiddle","FA",4345,467793
"2266","low","umpRight","SL",3314,572008
"3762","low","umpLeft","FA",4896,593527
"2625","middle","umpLeft","FA",3718,500208
"1595","high","umpLeft","CU",2627,446481
"2830","low","umpLeft","FA",3932,572761
"3353","low","umpRight","FA",4482,608061
"2575","low","umpLeft","FA",3662,518466
"986","low","umpLeft","CU",2015,458015
"1641","middle","umpMiddle","SL",2677,445988
"4160","high","umpMiddle","FA",5359,601713
"4113","middle","umpLeft","CU",5312,593525
"963","middle","umpMiddle","CU",1989,457803
"1949","middle","umpMiddle","SL",2985,452254
"1371","low","umpRight","SL",2403,502671
"3032","middle","umpLeft","CU",4155,570267
"3946","low","umpRight","CU",5103,622534
"3621","middle","umpRight","SL",4753,572041
"2975","low","umpLeft","SL",4091,608365
"2672","high","umpLeft","FA",3765,435622
"2042","low","umpMiddle","SL",3087,622534
"3006","low","umpRight","SL",4127,575929
"3553","low","umpMiddle","SL",4685,594777
"4024","middle","umpMiddle","FA",5223,518934
"199","low","umpLeft","FA",1201,474832
"1819","high","umpMiddle","FA",2855,491676
"1307","middle","umpMiddle","FA",2339,474832
"3725","low","umpLeft","FA",4859,518614
"1421","low","umpRight","CU",2453,605113
"4180","middle","umpRight","FA",5379,656555
"3108","low","umpMiddle","SL",4236,444489
"2116","low","umpMiddle","SL",3161,596115
"3268","low","umpLeft","SL",4397,547379
"3374","low","umpRight","SL",4503,518595
"1392","high","umpMiddle","FA",2424,571578
"2226","low","umpLeft","SL",3274,425844
"1532","middle","umpMiddle","FA",2564,457787
"2981","low","umpLeft","SL",4097,546991
"2401","low","umpMiddle","SL",3451,457763
"2549","low","umpLeft","SL",3636,622534
"2153","middle","umpLeft","FA",3198,596115
"3526","low","umpLeft","SL",4657,457727
"1831","high","umpLeft","FA",2867,518516
"3056","low","umpLeft","FA",4182,541650
"1268","low","umpRight","CU",2300,457763
"284","middle","umpLeft","SL",1286,607776
"3774","high","umpMiddle","FA",4908,444876
"2459","middle","umpMiddle","SL",3526,491676
"220","high","umpRight","SL",1222,452254
"4329","middle","umpMiddle","SL",5531,435622
"2391","middle","umpMiddle","FA",3440,452254
"297","middle","umpRight","SL",1299,593495
"1544","high","umpMiddle","FA",2576,501896
"2124","low","umpRight","SL",3169,467827
"3809","middle","umpMiddle","FA",4943,460077
"1839","low","umpRight","FA",2875,456488
"105","low","umpLeft","FA",1107,452254
"4","low","umpLeft","CU",1003,445055
"3250","high","umpRight","FA",4379,488726
"566","low","umpLeft","SL",1582,571976
"102","middle","umpMiddle","FA",1104,452254
"966","middle","umpLeft","FA",1992,594807
"4159","middle","umpRight","FA",5358,601713
"1291","middle","umpLeft","FA",2323,605412
"166","middle","umpLeft","SL",1168,452254
"725","low","umpRight","CU",1741,493316
"847","low","umpLeft","SL",1867,488862
