"","target_vertical","target_horizontal","target_type","index","batter"
"3221","middle","umpMiddle","CU",4350,429665
"3225","low","umpLeft","SL",4354,608070
"3226","middle","umpRight","FA",4355,608070
"3233","high","umpLeft","FA",4362,457706
"3239","middle","umpRight","FA",4368,457706
"3275","middle","umpMiddle","SL",4404,543706
"3277","high","umpLeft","SL",4406,596019
"3283","low","umpLeft","SL",4412,488726
"3284","low","umpLeft","FA",4413,467793
"3286","low","umpLeft","SL",4415,467793
"3297","high","umpRight","SL",4426,547379
"3305","high","umpMiddle","CU",4434,543706
"3309","low","umpLeft","FA",4438,624424
"3328","low","umpRight","CU",4457,457803
"3341","low","umpRight","FA",4470,608325
"3346","low","umpRight","FA",4475,624424
"3349","high","umpRight","CU",4478,624424
"3358","low","umpMiddle","CU",4487,457803
"3361","low","umpLeft","SL",4490,527038
"3366","high","umpLeft","FA",4495,527038
"3367","low","umpRight","SL",4496,518595
"3368","low","umpRight","CU",4497,518595
"3385","low","umpMiddle","FA",4514,606160
"3386","middle","umpLeft","FA",4515,606160
"3389","low","umpMiddle","SL",4518,624424
"3393","middle","umpLeft","FA",4522,624424
"3404","middle","umpRight","CU",4533,457803
"3406","low","umpLeft","SL",4535,457803
"3414","low","umpMiddle","FA",4543,527038
"3424","high","umpRight","FA",4553,453568
"3430","middle","umpLeft","CU",4559,518934
"3433","middle","umpMiddle","SL",4562,571448
"3434","low","umpLeft","SL",4563,571448
"3437","low","umpMiddle","FA",4566,571448
"3445","high","umpRight","CU",4574,448602
"3446","low","umpRight","SL",4575,448602
"3455","high","umpMiddle","FA",4584,606132
"3462","low","umpMiddle","FA",4591,543022
"3465","low","umpRight","FA",4594,453568
"3469","middle","umpLeft","FA",4598,518934
"3474","low","umpRight","CU",4604,448602
"3480","middle","umpRight","SL",4610,435622
"3486","low","umpLeft","SL",4616,596115
"3492","middle","umpRight","FA",4622,606132
"3514","low","umpLeft","FA",4645,448602
"3517","high","umpRight","SL",4648,448602
"3528","middle","umpMiddle","CU",4659,594777
"3530","low","umpLeft","CU",4661,594777
"3536","middle","umpMiddle","FA",4667,488862
"3538","low","umpLeft","CU",4669,527043
"3541","middle","umpMiddle","SL",4672,455117
"3543","low","umpLeft","CU",4674,457787
"3548","low","umpLeft","FA",4679,460060
"3556","high","umpRight","FA",4688,594777
"3582","low","umpLeft","SL",4714,460060
"3587","low","umpRight","FA",4719,594777
"3599","low","umpLeft","SL",4731,527043
"3601","middle","umpMiddle","FA",4733,455117
"3603","low","umpLeft","SL",4735,457787
"3611","low","umpLeft","CU",4743,458913
"3618","middle","umpRight","FA",4750,572041
"3619","low","umpMiddle","CU",4751,572041
"3624","middle","umpMiddle","CU",4756,444482
"3629","low","umpLeft","SL",4762,502671
"3645","low","umpMiddle","FA",4778,606466
"3646","low","umpRight","FA",4779,571578
"3654","low","umpRight","SL",4788,444482
"3670","middle","umpRight","FA",4804,592273
"3675","low","umpMiddle","SL",4809,455104
"3679","low","umpMiddle","SL",4813,518614
"3696","low","umpRight","CU",4830,572041
"3698","low","umpLeft","SL",4832,572041
"3702","low","umpRight","CU",4836,444482
"3705","high","umpLeft","FA",4839,502671
"3707","middle","umpLeft","FA",4841,502671
"3712","low","umpRight","CU",4846,572008
"3714","low","umpRight","CU",4848,592273
"3715","low","umpMiddle","SL",4849,592273
"3716","middle","umpLeft","CU",4850,592273
"3720","middle","umpMiddle","FA",4854,455104
"3733","middle","umpLeft","SL",4867,593527
"3745","low","umpMiddle","FA",4879,444876
"3752","middle","umpMiddle","FA",4886,460077
"3765","high","umpLeft","SL",4899,593527
"3766","middle","umpMiddle","SL",4900,593527
"3767","middle","umpMiddle","FA",4901,456715
"3782","high","umpMiddle","FA",4916,518633
"3800","low","umpLeft","SL",4934,593528
"3801","low","umpRight","CU",4935,593528
"3805","low","umpRight","SL",4939,624585
"3806","low","umpRight","CU",4940,624585
"3814","low","umpLeft","SL",4948,593160
"3819","low","umpLeft","FA",4953,593528
"3843","low","umpLeft","FA",4977,571602
"3850","middle","umpRight","CU",4984,570560
"3853","high","umpLeft","FA",4987,607345
"3854","middle","umpLeft","SL",4988,607345
"3855","low","umpLeft","FA",4989,607345
"3860","low","umpLeft","CU",4994,641553
"3869","low","umpLeft","SL",5003,547989
"3886","low","umpLeft","FA",5021,570560
"3892","middle","umpLeft","SL",5027,641553
"3894","low","umpLeft","SL",5029,641313
"3903","low","umpRight","CU",5038,547989
"3904","high","umpMiddle","FA",5039,547989
"3918","middle","umpLeft","CU",5053,570560
"3934","low","umpMiddle","FA",5069,518692
"3939","high","umpLeft","SL",5074,455976
"3950","high","umpRight","FA",5149,453568
"3956","high","umpRight","FA",5155,518934
"3969","low","umpLeft","SL",5168,596115
"3970","low","umpLeft","SL",5169,596115
"3982","low","umpLeft","FA",5181,453568
"3990","low","umpLeft","SL",5189,571448
"4005","low","umpRight","SL",5204,596115
"4008","low","umpRight","SL",5207,471865
"4029","high","umpMiddle","FA",5228,571448
"4034","high","umpLeft","FA",5233,605412
"4045","middle","umpMiddle","FA",5244,460026
"4053","high","umpRight","FA",5252,605509
"4057","high","umpLeft","FA",5256,456501
"4060","high","umpLeft","SL",5259,491676
"4069","middle","umpMiddle","FA",5268,457763
"4071","middle","umpLeft","FA",5270,596103
"4075","low","umpLeft","SL",5274,593525
"4082","low","umpLeft","CU",5281,491676
"4085","low","umpLeft","SL",5284,491676
"4096","middle","umpMiddle","SL",5295,452254
"4097","high","umpLeft","FA",5296,452254
"4105","middle","umpMiddle","SL",5304,460026
"4110","low","umpLeft","FA",5309,593525
"4111","low","umpLeft","FA",5310,593525
"4126","high","umpLeft","FA",5325,546318
"4127","high","umpMiddle","SL",5326,546318
"4133","high","umpRight","FA",5332,520471
"4137","middle","umpLeft","SL",5336,608384
"4146","low","umpLeft","FA",5345,571437
"4153","high","umpRight","FA",5352,641487
"4157","middle","umpLeft","SL",5356,595751
"4165","middle","umpLeft","FA",5364,546318
"4184","low","umpRight","SL",5383,596748
"4193","low","umpMiddle","CU",5392,595751
"4195","low","umpRight","CU",5394,571841
"4207","low","umpRight","CU",5406,608384
"4208","high","umpLeft","SL",5407,656555
"4215","low","umpLeft","SL",5414,571437
"4217","middle","umpLeft","SL",5416,571437
"4226","high","umpMiddle","FA",5425,605509
"4234","low","umpLeft","FA",5433,452254
"4235","low","umpMiddle","CU",5434,452254
"4250","low","umpRight","SL",5449,491676
"4256","high","umpMiddle","FA",5455,491676
"4257","low","umpLeft","FA",5456,605509
"4259","low","umpLeft","CU",5459,605509
"4261","low","umpLeft","FA",5461,457763
"4278","low","umpRight","CU",5478,491676
"4282","low","umpLeft","SL",5482,605509
"4289","high","umpMiddle","SL",5489,457763
"4292","middle","umpRight","SL",5493,460026
"4295","middle","umpRight","SL",5496,460026
"4301","high","umpLeft","FA",5502,467055
"4306","middle","umpLeft","FA",5507,593525
"4308","low","umpRight","FA",5510,491676
"4309","low","umpRight","SL",5511,491676
"4333","low","umpRight","SL",5535,518960
"4337","middle","umpLeft","FA",5539,608566
"4339","low","umpMiddle","FA",5541,453568
"4347","high","umpRight","FA",5549,571448
"4351","low","umpRight","FA",5553,596115
"4358","low","umpLeft","SL",5560,448602
"4359","high","umpRight","FA",5561,471865
